"","JV","season","Var3","breeding_biome","conservation_status","estimate_type"
"1","CIJV","breeding","all-birds","grassland","all-status","species richness"
"2","PBHJV","breeding","all-birds","grassland","all-status","species richness"
"3","CIJV","breeding","all-birds","boreal_forest","all-status","species richness"
"4","PBHJV","breeding","all-birds","boreal_forest","all-status","species richness"
"5","CIJV","breeding","all-birds","forest_generalist","all-status","species richness"
"6","PBHJV","breeding","all-birds","forest_generalist","all-status","species richness"
"7","CIJV","breeding","all-birds","habitat_generalist","all-status","species richness"
"8","PBHJV","breeding","all-birds","habitat_generalist","all-status","species richness"
"9","CIJV","breeding","all-birds","western_forest","all-status","species richness"
"10","PBHJV","breeding","all-birds","western_forest","all-status","species richness"
"11","CIJV","breeding","all-birds","artic_tundra","all-status","species richness"
"12","PBHJV","breeding","all-birds","artic_tundra","all-status","species richness"
"13","CIJV","breeding","all-birds","coast","all-status","species richness"
"14","PBHJV","breeding","all-birds","coast","all-status","species richness"
"15","CIJV","breeding","all-birds","wetlands","all-status","species richness"
"16","PBHJV","breeding","all-birds","wetlands","all-status","species richness"
"17","CIJV","breeding","all-birds","grassland","SAR","species richness"
"18","PBHJV","breeding","all-birds","grassland","SAR","species richness"
"19","CIJV","breeding","all-birds","boreal_forest","SAR","species richness"
"20","PBHJV","breeding","all-birds","boreal_forest","SAR","species richness"
"21","CIJV","breeding","all-birds","forest_generalist","SAR","species richness"
"22","PBHJV","breeding","all-birds","forest_generalist","SAR","species richness"
"23","CIJV","breeding","all-birds","habitat_generalist","SAR","species richness"
"24","PBHJV","breeding","all-birds","habitat_generalist","SAR","species richness"
"25","CIJV","breeding","all-birds","western_forest","SAR","species richness"
"26","PBHJV","breeding","all-birds","western_forest","SAR","species richness"
"27","CIJV","breeding","all-birds","artic_tundra","SAR","species richness"
"28","PBHJV","breeding","all-birds","artic_tundra","SAR","species richness"
"29","CIJV","breeding","all-birds","coast","SAR","species richness"
"30","PBHJV","breeding","all-birds","coast","SAR","species richness"
"31","CIJV","breeding","all-birds","wetlands","SAR","species richness"
"32","PBHJV","breeding","all-birds","wetlands","SAR","species richness"
"33","CIJV","breeding","all-birds","grassland","JV_priority_species","species richness"
"34","PBHJV","breeding","all-birds","grassland","JV_priority_species","species richness"
"35","CIJV","breeding","all-birds","boreal_forest","JV_priority_species","species richness"
"36","PBHJV","breeding","all-birds","boreal_forest","JV_priority_species","species richness"
"37","CIJV","breeding","all-birds","forest_generalist","JV_priority_species","species richness"
"38","PBHJV","breeding","all-birds","forest_generalist","JV_priority_species","species richness"
"39","CIJV","breeding","all-birds","habitat_generalist","JV_priority_species","species richness"
"40","PBHJV","breeding","all-birds","habitat_generalist","JV_priority_species","species richness"
"41","CIJV","breeding","all-birds","western_forest","JV_priority_species","species richness"
"42","PBHJV","breeding","all-birds","western_forest","JV_priority_species","species richness"
"43","CIJV","breeding","all-birds","artic_tundra","JV_priority_species","species richness"
"44","PBHJV","breeding","all-birds","artic_tundra","JV_priority_species","species richness"
"45","CIJV","breeding","all-birds","coast","JV_priority_species","species richness"
"46","PBHJV","breeding","all-birds","coast","JV_priority_species","species richness"
"47","CIJV","breeding","all-birds","wetlands","JV_priority_species","species richness"
"48","PBHJV","breeding","all-birds","wetlands","JV_priority_species","species richness"
"49","CIJV","breeding","all-birds","grassland","all-status","percentage population"
"50","PBHJV","breeding","all-birds","grassland","all-status","percentage population"
"51","CIJV","breeding","all-birds","boreal_forest","all-status","percentage population"
"52","PBHJV","breeding","all-birds","boreal_forest","all-status","percentage population"
"53","CIJV","breeding","all-birds","forest_generalist","all-status","percentage population"
"54","PBHJV","breeding","all-birds","forest_generalist","all-status","percentage population"
"55","CIJV","breeding","all-birds","habitat_generalist","all-status","percentage population"
"56","PBHJV","breeding","all-birds","habitat_generalist","all-status","percentage population"
"57","CIJV","breeding","all-birds","western_forest","all-status","percentage population"
"58","PBHJV","breeding","all-birds","western_forest","all-status","percentage population"
"59","CIJV","breeding","all-birds","artic_tundra","all-status","percentage population"
"60","PBHJV","breeding","all-birds","artic_tundra","all-status","percentage population"
"61","CIJV","breeding","all-birds","coast","all-status","percentage population"
"62","PBHJV","breeding","all-birds","coast","all-status","percentage population"
"63","CIJV","breeding","all-birds","wetlands","all-status","percentage population"
"64","PBHJV","breeding","all-birds","wetlands","all-status","percentage population"
"65","CIJV","breeding","all-birds","grassland","SAR","percentage population"
"66","PBHJV","breeding","all-birds","grassland","SAR","percentage population"
"67","CIJV","breeding","all-birds","boreal_forest","SAR","percentage population"
"68","PBHJV","breeding","all-birds","boreal_forest","SAR","percentage population"
"69","CIJV","breeding","all-birds","forest_generalist","SAR","percentage population"
"70","PBHJV","breeding","all-birds","forest_generalist","SAR","percentage population"
"71","CIJV","breeding","all-birds","habitat_generalist","SAR","percentage population"
"72","PBHJV","breeding","all-birds","habitat_generalist","SAR","percentage population"
"73","CIJV","breeding","all-birds","western_forest","SAR","percentage population"
"74","PBHJV","breeding","all-birds","western_forest","SAR","percentage population"
"75","CIJV","breeding","all-birds","artic_tundra","SAR","percentage population"
"76","PBHJV","breeding","all-birds","artic_tundra","SAR","percentage population"
"77","CIJV","breeding","all-birds","coast","SAR","percentage population"
"78","PBHJV","breeding","all-birds","coast","SAR","percentage population"
"79","CIJV","breeding","all-birds","wetlands","SAR","percentage population"
"80","PBHJV","breeding","all-birds","wetlands","SAR","percentage population"
"81","CIJV","breeding","all-birds","grassland","JV_priority_species","percentage population"
"82","PBHJV","breeding","all-birds","grassland","JV_priority_species","percentage population"
"83","CIJV","breeding","all-birds","boreal_forest","JV_priority_species","percentage population"
"84","PBHJV","breeding","all-birds","boreal_forest","JV_priority_species","percentage population"
"85","CIJV","breeding","all-birds","forest_generalist","JV_priority_species","percentage population"
"86","PBHJV","breeding","all-birds","forest_generalist","JV_priority_species","percentage population"
"87","CIJV","breeding","all-birds","habitat_generalist","JV_priority_species","percentage population"
"88","PBHJV","breeding","all-birds","habitat_generalist","JV_priority_species","percentage population"
"89","CIJV","breeding","all-birds","western_forest","JV_priority_species","percentage population"
"90","PBHJV","breeding","all-birds","western_forest","JV_priority_species","percentage population"
"91","CIJV","breeding","all-birds","artic_tundra","JV_priority_species","percentage population"
"92","PBHJV","breeding","all-birds","artic_tundra","JV_priority_species","percentage population"
"93","CIJV","breeding","all-birds","coast","JV_priority_species","percentage population"
"94","PBHJV","breeding","all-birds","coast","JV_priority_species","percentage population"
"95","CIJV","breeding","all-birds","wetlands","JV_priority_species","percentage population"
"96","PBHJV","breeding","all-birds","wetlands","JV_priority_species","percentage population"
"97","CIJV","breeding","all-birds","grassland","all-status","normalizedrelative abundance"
"98","PBHJV","breeding","all-birds","grassland","all-status","normalizedrelative abundance"
"99","CIJV","breeding","all-birds","boreal_forest","all-status","normalizedrelative abundance"
"100","PBHJV","breeding","all-birds","boreal_forest","all-status","normalizedrelative abundance"
"101","CIJV","breeding","all-birds","forest_generalist","all-status","normalizedrelative abundance"
"102","PBHJV","breeding","all-birds","forest_generalist","all-status","normalizedrelative abundance"
"103","CIJV","breeding","all-birds","habitat_generalist","all-status","normalizedrelative abundance"
"104","PBHJV","breeding","all-birds","habitat_generalist","all-status","normalizedrelative abundance"
"105","CIJV","breeding","all-birds","western_forest","all-status","normalizedrelative abundance"
"106","PBHJV","breeding","all-birds","western_forest","all-status","normalizedrelative abundance"
"107","CIJV","breeding","all-birds","artic_tundra","all-status","normalizedrelative abundance"
"108","PBHJV","breeding","all-birds","artic_tundra","all-status","normalizedrelative abundance"
"109","CIJV","breeding","all-birds","coast","all-status","normalizedrelative abundance"
"110","PBHJV","breeding","all-birds","coast","all-status","normalizedrelative abundance"
"111","CIJV","breeding","all-birds","wetlands","all-status","normalizedrelative abundance"
"112","PBHJV","breeding","all-birds","wetlands","all-status","normalizedrelative abundance"
"113","CIJV","breeding","all-birds","grassland","SAR","normalizedrelative abundance"
"114","PBHJV","breeding","all-birds","grassland","SAR","normalizedrelative abundance"
"115","CIJV","breeding","all-birds","boreal_forest","SAR","normalizedrelative abundance"
"116","PBHJV","breeding","all-birds","boreal_forest","SAR","normalizedrelative abundance"
"117","CIJV","breeding","all-birds","forest_generalist","SAR","normalizedrelative abundance"
"118","PBHJV","breeding","all-birds","forest_generalist","SAR","normalizedrelative abundance"
"119","CIJV","breeding","all-birds","habitat_generalist","SAR","normalizedrelative abundance"
"120","PBHJV","breeding","all-birds","habitat_generalist","SAR","normalizedrelative abundance"
"121","CIJV","breeding","all-birds","western_forest","SAR","normalizedrelative abundance"
"122","PBHJV","breeding","all-birds","western_forest","SAR","normalizedrelative abundance"
"123","CIJV","breeding","all-birds","artic_tundra","SAR","normalizedrelative abundance"
"124","PBHJV","breeding","all-birds","artic_tundra","SAR","normalizedrelative abundance"
"125","CIJV","breeding","all-birds","coast","SAR","normalizedrelative abundance"
"126","PBHJV","breeding","all-birds","coast","SAR","normalizedrelative abundance"
"127","CIJV","breeding","all-birds","wetlands","SAR","normalizedrelative abundance"
"128","PBHJV","breeding","all-birds","wetlands","SAR","normalizedrelative abundance"
"129","CIJV","breeding","all-birds","grassland","JV_priority_species","normalizedrelative abundance"
"130","PBHJV","breeding","all-birds","grassland","JV_priority_species","normalizedrelative abundance"
"131","CIJV","breeding","all-birds","boreal_forest","JV_priority_species","normalizedrelative abundance"
"132","PBHJV","breeding","all-birds","boreal_forest","JV_priority_species","normalizedrelative abundance"
"133","CIJV","breeding","all-birds","forest_generalist","JV_priority_species","normalizedrelative abundance"
"134","PBHJV","breeding","all-birds","forest_generalist","JV_priority_species","normalizedrelative abundance"
"135","CIJV","breeding","all-birds","habitat_generalist","JV_priority_species","normalizedrelative abundance"
"136","PBHJV","breeding","all-birds","habitat_generalist","JV_priority_species","normalizedrelative abundance"
"137","CIJV","breeding","all-birds","western_forest","JV_priority_species","normalizedrelative abundance"
"138","PBHJV","breeding","all-birds","western_forest","JV_priority_species","normalizedrelative abundance"
"139","CIJV","breeding","all-birds","artic_tundra","JV_priority_species","normalizedrelative abundance"
"140","PBHJV","breeding","all-birds","artic_tundra","JV_priority_species","normalizedrelative abundance"
"141","CIJV","breeding","all-birds","coast","JV_priority_species","normalizedrelative abundance"
"142","PBHJV","breeding","all-birds","coast","JV_priority_species","normalizedrelative abundance"
"143","CIJV","breeding","all-birds","wetlands","JV_priority_species","normalizedrelative abundance"
"144","PBHJV","breeding","all-birds","wetlands","JV_priority_species","normalizedrelative abundance"
"145","CIJV","breeding","all-birds","grassland","all-status","max relative abundance"
"146","PBHJV","breeding","all-birds","grassland","all-status","max relative abundance"
"147","CIJV","breeding","all-birds","boreal_forest","all-status","max relative abundance"
"148","PBHJV","breeding","all-birds","boreal_forest","all-status","max relative abundance"
"149","CIJV","breeding","all-birds","forest_generalist","all-status","max relative abundance"
"150","PBHJV","breeding","all-birds","forest_generalist","all-status","max relative abundance"
"151","CIJV","breeding","all-birds","habitat_generalist","all-status","max relative abundance"
"152","PBHJV","breeding","all-birds","habitat_generalist","all-status","max relative abundance"
"153","CIJV","breeding","all-birds","western_forest","all-status","max relative abundance"
"154","PBHJV","breeding","all-birds","western_forest","all-status","max relative abundance"
"155","CIJV","breeding","all-birds","artic_tundra","all-status","max relative abundance"
"156","PBHJV","breeding","all-birds","artic_tundra","all-status","max relative abundance"
"157","CIJV","breeding","all-birds","coast","all-status","max relative abundance"
"158","PBHJV","breeding","all-birds","coast","all-status","max relative abundance"
"159","CIJV","breeding","all-birds","wetlands","all-status","max relative abundance"
"160","PBHJV","breeding","all-birds","wetlands","all-status","max relative abundance"
"161","CIJV","breeding","all-birds","grassland","SAR","max relative abundance"
"162","PBHJV","breeding","all-birds","grassland","SAR","max relative abundance"
"163","CIJV","breeding","all-birds","boreal_forest","SAR","max relative abundance"
"164","PBHJV","breeding","all-birds","boreal_forest","SAR","max relative abundance"
"165","CIJV","breeding","all-birds","forest_generalist","SAR","max relative abundance"
"166","PBHJV","breeding","all-birds","forest_generalist","SAR","max relative abundance"
"167","CIJV","breeding","all-birds","habitat_generalist","SAR","max relative abundance"
"168","PBHJV","breeding","all-birds","habitat_generalist","SAR","max relative abundance"
"169","CIJV","breeding","all-birds","western_forest","SAR","max relative abundance"
"170","PBHJV","breeding","all-birds","western_forest","SAR","max relative abundance"
"171","CIJV","breeding","all-birds","artic_tundra","SAR","max relative abundance"
"172","PBHJV","breeding","all-birds","artic_tundra","SAR","max relative abundance"
"173","CIJV","breeding","all-birds","coast","SAR","max relative abundance"
"174","PBHJV","breeding","all-birds","coast","SAR","max relative abundance"
"175","CIJV","breeding","all-birds","wetlands","SAR","max relative abundance"
"176","PBHJV","breeding","all-birds","wetlands","SAR","max relative abundance"
"177","CIJV","breeding","all-birds","grassland","JV_priority_species","max relative abundance"
"178","PBHJV","breeding","all-birds","grassland","JV_priority_species","max relative abundance"
"179","CIJV","breeding","all-birds","boreal_forest","JV_priority_species","max relative abundance"
"180","PBHJV","breeding","all-birds","boreal_forest","JV_priority_species","max relative abundance"
"181","CIJV","breeding","all-birds","forest_generalist","JV_priority_species","max relative abundance"
"182","PBHJV","breeding","all-birds","forest_generalist","JV_priority_species","max relative abundance"
"183","CIJV","breeding","all-birds","habitat_generalist","JV_priority_species","max relative abundance"
"184","PBHJV","breeding","all-birds","habitat_generalist","JV_priority_species","max relative abundance"
"185","CIJV","breeding","all-birds","western_forest","JV_priority_species","max relative abundance"
"186","PBHJV","breeding","all-birds","western_forest","JV_priority_species","max relative abundance"
"187","CIJV","breeding","all-birds","artic_tundra","JV_priority_species","max relative abundance"
"188","PBHJV","breeding","all-birds","artic_tundra","JV_priority_species","max relative abundance"
"189","CIJV","breeding","all-birds","coast","JV_priority_species","max relative abundance"
"190","PBHJV","breeding","all-birds","coast","JV_priority_species","max relative abundance"
"191","CIJV","breeding","all-birds","wetlands","JV_priority_species","max relative abundance"
"192","PBHJV","breeding","all-birds","wetlands","JV_priority_species","max relative abundance"
